HardwareType,count,mean,median,p90,share,multiplier_vs_baseline
DecosIIIf,459,7059.783022503122,7038.43105913925,7385.246487344351,0.00012160367428548569,5.303042258892273
DecosIIIe,1645,5805.206039158074,6437.82751564244,8383.464603829589,0.00043581273246105437,4.360651432077109
DecosIIIc,175,5658.053090815599,6533.89242786399,7336.513879855978,4.636305664479302e-05,4.250115697325299
DecosIIId,4002,5126.070543706296,5548.737367113905,7660.411352493722,0.0010602568725283524,3.8505105084233993
DecosIIIh,65362,5066.795392952718,4946.320854914825,8067.008757964893,0.017316469190954063,3.805985254836076
DecosIIIg,63490,4907.419185032943,4608.52430469286,7956.2891738105,0.016820516950730908,3.6862678693347712
DecosIIIj,224217,4450.149241815709,3684.09023221489,8331.391277288587,0.059402202695574606,3.342783965527416
MPC2000,224,3810.445578953574,4083.30871726833,4519.375493765895,5.9344712505335066e-05,2.8622627446183815
MP3000A,21822,3624.035243735823,3933.81766442729,5611.250327493879,0.005781340697729561,2.722238344151253
DecosIIId1,57,3595.920521875397,3106.11073098447,5708.579155402892,1.5101109878589725e-05,2.70111962737942
ML2i,8756,3210.2405194748644,2981.31908609242,6617.727349516095,0.0023197424227531867,2.411411382151435
MPC2000ID,6,3048.6723545997593,4082.83157654548,4242.847975333845,1.5895905135357606e-06,2.290047481406428
MP4000,183207,3044.9396042586136,3322.62554011202,4801.353151482286,0.04853735153555768,2.2872435803888056
ML3,949395,2965.405488202465,2396.87901225061,6361.627925441854,0.25152488093304726,2.2275005575331464
ML5,96871,2755.7060606966247,2224.23824445911,5135.79887569793,0.025664203772787112,2.06998227089681
RCCU5,4508,2043.4728084031835,1766.69182372025,4143.2710292582,0.001194312339169868,1.534979562872899
SCC6,1567014,1754.9261862916946,1103.04288271492,5261.10432799047,0.4151517648296211,1.3182342428198042
DecosVa,284520,1350.8636367271622,1230.786492049965,2095.816325298902,0.07537838215186576,1.0147177227303905
DecosVb,298827,1331.2703685634604,1257.04675968437,2053.181951833246,0.07916876073139179,1.0
